"id","name","default_code","categ_id/id","public_categ_ids/id","type","list_price","standard_price","website_published","valuation","sale_delay"
"product_product_20","Casque de vélo enfant rouge",789456123,"product_category_4","product_public_category_3","Stockable Product","15.89","10.00",1,"real_time",0
"product_product_16","Casque de vélo enfant vert pomme",741852,"product_category_4","product_public_category_3","Stockable Product","15.89","10.00",1,"real_time",0
"product_product_50","Cordo Compteur Cycle Cordo Ordinateur Velo Crd 4 Agu133166","AGU133166","product_category_4","product_public_category_3","Stockable Product","16.95","12.71",1,"real_time",0
"product_product_2","Dahon expresso","123000DE12","product_category_6","product_public_category_9","Stockable Product","442.31","324.00",1,"real_time",0
"product_product_176","ENFANTS BATAVUS SNAKE-XC HR KOBALTBLUE 1 H25 SNAKE","BAT1002","product_category_7","product_public_category_11","Stockable Product","1048.00","859.36",1,"real_time",0
"product_product_268","GAZELLE GAZELLENL H49 001 R H49 GAZELLENL Black","GAZ16160","product_category_6","product_public_category_9","Stockable Product","1133.00","963.05",1,"real_time",0
"product_product_272","GAZELLE GAZELLENL H54 001 R3 H54 GAZELLENL Black","GAZ16167","product_category_6","product_public_category_9","Stockable Product","1636.00","1210.64",1,"real_time",0
"product_product_105","Koga Miyata Velo Vtc Randonnee Koga Sportsrider ","KOG353949","product_category_8","product_public_category_10","Stockable Product","1299.00","994.37",1,"real_time",0
"product_product_62","Porte Bagage Porteur Avant Basil Drager Memories Orange Jun680649","JUN680649","product_category_4","product_public_category_3","Stockable Product","35.95","28.03",1,"real_time",0
"product_product_63","Porte Bagage Porteur Avant Basil Drager Memories Pastel Vert Jun680644","JUN680644","product_category_4","product_public_category_3","Stockable Product","35.95","26.34",1,"real_time",0
"product_product_67","Porte Bagage Porteur Avant Basil Drager Transport Noir Mat Jun685083","JUN685083","product_category_4","product_public_category_3","Stockable Product","35.95","28.02",1,"real_time",0
"product_product_19","Puky pour les débuts","789123PU","product_category_8","product_public_category_10","Stockable Product","171.40","110.00",1,"real_time",0
"product_product_237","RACE KOGA CROSSWINNER 11 54CM H54 CROSSWINNER","KOG11131","product_category_3","product_public_category_8","Stockable Product","1102.00","991.80",1,"real_time",0
"product_product_240","RACE KOGA CROSSWINNER 11 60CM H60 CROSSWINNER","KOG11134","product_category_3","product_public_category_8","Stockable Product","1114.00","991.46",1,"real_time",0
"product_product_212","RACE KOGA KIMERA ALU 105 11 60CM H60 KIMERA ALU 105","KOG11094","product_category_3","product_public_category_8","Stockable Product","1328.00","1049.12",1,"real_time",0
"product_product_10","SUPERLEC",159,"product_category_6","product_public_category_9","Stockable Product","896.00","612.00",1,"real_time",0
"product_product_23","Vélo électrique E-color 2624","Velo-03","product_category_8","product_public_category_10","Stockable Product","994.98","700.00",1,"real_time",0
"product_product_153","Vélo Wilier Gran Turismo 2012 Force FSA SLK Wilier","TDS13912","product_category_3","product_public_category_8","Stockable Product","2630.55","2266.32",1,"real_time",0
"product_product_170","VILLE BATAVUS BUB XC SPEC-KIKA HR ORANGE H54 BUBXC","BAT0674","product_category_6","product_public_category_9","Stockable Product","2018.00","1412.60",1,"real_time",0
"product_product_201","VILLE BATAVUS O.DUTCH DR LAVENDELBLUE U56 OLD DUTCH","BAT1031","product_category_6","product_public_category_9","Stockable Product","597.00","447.75",1,"real_time",0
"product_product_163","VILLE BATAVUS RETRO DN3 DARK BLUE U61 RETRO","BAT0599","product_category_6","product_public_category_9","Stockable Product","726.00","544.50",1,"real_time",0
"product_product_156","VILLE BATAVUS RETRO DN3 LIGHT BLUE U48 RETRO","BAT0553","product_category_6","product_public_category_9","Stockable Product","2208.00","1987.20",1,"real_time",0
"product_product_157","VILLE BATAVUS RETRO DN3 LIGHT BLUE U53 RETRO","BAT0555","product_category_6","product_public_category_9","Stockable Product","1614.00","1388.04",1,"real_time",0
"product_product_159","VILLE BATAVUS RETRO DN3 LIGHT BLUE U61 RETRO","BAT0559","product_category_6","product_public_category_9","Stockable Product","2366.00","1727.18",1,"real_time",0
"product_product_164","VILLE BATAVUS RETRO HN3 DARK BLUE H53 RETRO","BAT0601","product_category_6","product_public_category_9","Stockable Product","2873.00","2269.67",1,"real_time",0
"product_product_277","VILLEBALADE GAZELLE GENEVE D49 469/640 V27 U49 GENEVE Black","GAZ11191","product_category_8","product_public_category_10","Stockable Product","1455.50","997.91",1,"real_time",0
"product_product_255","VTT KOGA X-SPORT 11 56CM H56 X-SPORT","KOG11173","product_category_7","product_public_category_11","Stockable Product","1807.00","1409.46",1,"real_time",0
"product_product_250","VTT KOGA X-TEAM 11 51CM H51 X-TEAM","KOG11162","product_category_7","product_public_category_11","Stockable Product","1961.00","1588.41",1,"real_time",0
"product_product_4","Abrar SAFARI","12300AS11","product_category_8","product_public_category_10","Stockable Product","316.89","250.00",1,"real_time",0
"product_product_94","Batavus Velo Ville Balade Batavus Fuego 7","BAT582828","product_category_6","product_public_category_9","Stockable Product","899.00","677.97",1,"real_time",0
"product_product_5","Cité Confort CC 11","12300CC11","product_category_6","product_public_category_9","Stockable Product","358.70","300.00",1,"real_time",0
"product_product_53","Cordo Compteur Cycle Cordo Ordinateur Velo Crd 7 Agu133167","AGU133167","product_category_4","product_public_category_3","Stockable Product","19.95","15.81",1,"real_time",0
"product_product_57","Cordo Ordinateur Velo Crd 10 Agu133168","AGU133168","product_category_4","product_public_category_3","Stockable Product","24.95","18.47",1,"real_time",0
"product_product_41","Derailleur arriere Shimano Ultegra Glossy Grey 6700","NGM12618","product_category_4","product_public_category_3","Stockable Product","63.50","54.13",1,"real_time",0
"product_product_173","ENFANTS BATAVUS FOX HR3 BLACK 2 H38 FOX","BAT0747","product_category_7","product_public_category_11","Stockable Product","719.00","560.82",1,"real_time",0
"product_product_291","GAZELLE HEAVYDUTYNL D54 149 T3 U54 HEAVYDUTYNL Titanium","GAZ10688","product_category_6","product_public_category_9","Stockable Product","1055.00","780.70",1,"real_time",0
"product_product_107","Koga Velo Ville Balade Koga Citylite ","KOG844823","product_category_6","product_public_category_9","Stockable Product","1399.00","1050.04",1,"real_time",0
"product_product_34","Paire de manettes Tiagra 9V","EHM15127","product_category_4","product_public_category_3","Stockable Product","191.20","162.50",1,"real_time",0
"product_product_110","Qwic Velo Electrique Pliant Qwic Smart E3 ","QWI60479","product_category_6","product_public_category_9","Stockable Product","1599.00","1260.14",1,"real_time",0
"product_product_256","RANDONNEE KOGA RANDONNEUR 11 50CM H50 RANDONNEUR","KOG11180","product_category_8","product_public_category_10","Stockable Product","2042.00","1511.08",1,"real_time",0
"product_product_1","Vélo électrique superbike",123,"product_category_6","product_public_category_9","Stockable Product","456.00","268.00",1,"real_time",0
"product_product_21","Vélo hollandais Amsterdamer Park","Velo-01","product_category_6","product_public_category_9","Stockable Product","500.84","400.00",1,"real_time",0
